#time,accel_x,accel_y,accel_z
330.211179,19.142581,172.283227,9839.286531
330.214132,76.570323,210.568389,9877.571693
330.217086,76.570323,210.568389,9877.571693
330.220039,19.142581,191.425808,9839.286531
330.222992,57.427742,287.138712,9801.001370
330.225946,114.855485,229.710970,9858.429112
330.228899,95.712904,229.710970,9877.571693
330.231853,95.712904,229.710970,9877.571693
330.234806,76.570323,114.855485,9839.286531
330.237759,57.427742,114.855485,9839.286531
330.240713,76.570323,114.855485,9877.571693
330.243666,38.285162,76.570323,9877.571693
330.246620,95.712904,76.570323,9915.856854
330.249573,19.142581,133.998066,9781.858789
330.252526,153.140646,306.281293,9839.286531
330.255480,76.570323,153.140646,9762.716208
330.258433,19.142581,95.712904,9686.145885
330.261387,114.855485,38.285162,9858.429112
330.264340,114.855485,-57.427742,9762.716208
330.267293,153.140646,153.140646,9743.573627
330.270247,38.285162,267.996131,9877.571693
330.273200,57.427742,306.281293,9896.714274
330.276154,57.427742,210.568389,9973.284597
330.279107,76.570323,153.140646,10049.854920
330.282061,153.140646,95.712904,9896.714274
330.285014,76.570323,172.283227,9820.143950
330.287967,19.142581,133.998066,9896.714274
330.290320,19.142581,133.998066,9896.714274
330.292673,57.427742,229.710970,9896.714274
330.295026,76.570323,229.710970,9801.001370
330.297378,76.570323,229.710970,9762.716208
330.299731,57.427742,133.998066,9743.573627
330.302084,57.427742,95.712904,9781.858789
330.304436,38.285162,95.712904,9781.858789
330.306789,57.427742,95.712904,9801.001370
330.309142,95.712904,229.710970,9801.001370
330.311495,114.855485,248.853550,9724.431046
330.313847,95.712904,210.568389,9839.286531
330.316200,76.570323,229.710970,9877.571693
330.318553,19.142581,95.712904,9934.999435
330.320906,57.427742,133.998066,10049.854920
330.323258,114.855485,248.853550,9915.856854
330.325611,76.570323,191.425808,9858.429112
330.327964,114.855485,287.138712,9858.429112
330.330316,153.140646,210.568389,9915.856854
330.332669,95.712904,153.140646,9934.999435
330.335022,95.712904,172.283227,9858.429112
330.337375,76.570323,210.568389,9820.143950
330.339727,76.570323,191.425808,9762.716208
330.342080,76.570323,114.855485,9858.429112
330.344433,114.855485,114.855485,9896.714274
330.346785,38.285162,172.283227,9724.431046
330.349138,76.570323,210.568389,9762.716208
330.351491,76.570323,210.568389,9801.001370
330.353844,95.712904,229.710970,9781.858789
330.356196,38.285162,133.998066,9762.716208
330.358549,19.142581,95.712904,9934.999435
330.360902,76.570323,172.283227,9877.571693
330.363255,114.855485,172.283227,9801.001370
330.365607,76.570323,210.568389,9877.571693
330.367960,114.855485,210.568389,9820.143950
330.370313,76.570323,114.855485,9839.286531
330.372665,57.427742,191.425808,9877.571693
330.375018,38.285162,191.425808,9915.856854
330.377371,133.998066,191.425808,9858.429112
330.379724,76.570323,210.568389,9877.571693
330.382076,114.855485,172.283227,9877.571693
330.384284,76.570323,76.570323,9915.856854
330.386491,38.285162,114.855485,9915.856854
330.388698,76.570323,153.140646,9877.571693
330.390905,38.285162,133.998066,9820.143950
330.393112,76.570323,172.283227,9877.571693
330.395320,19.142581,172.283227,9781.858789
330.397527,38.285162,76.570323,9858.429112
330.399734,19.142581,153.140646,9858.429112
330.401941,57.427742,95.712904,9781.858789
330.404148,76.570323,210.568389,9801.001370
330.406356,57.427742,95.712904,9839.286531
330.408563,57.427742,95.712904,9839.286531
330.410770,38.285162,38.285162,9820.143950
330.412977,114.855485,95.712904,9896.714274
330.415184,-19.142581,172.283227,9839.286531
330.417392,19.142581,191.425808,9839.286531
330.419599,76.570323,210.568389,9858.429112
330.421806,153.140646,114.855485,9762.716208
330.424013,57.427742,191.425808,9915.856854
