#time,accel_x,accel_y,accel_z
392.641912,95.712904,344.566454,9839.286531
392.644476,19.142581,287.138712,9973.284597
392.647041,19.142581,210.568389,9858.429112
392.649605,38.285162,57.427742,9877.571693
392.652170,57.427742,95.712904,10088.140082
392.654861,38.285162,114.855485,9915.856854
392.657552,19.142581,172.283227,9877.571693
392.660243,38.285162,172.283227,10011.569758
392.662935,95.712904,191.425808,9934.999435
392.665626,114.855485,210.568389,9858.429112
392.668317,57.427742,229.710970,9801.001370
392.671008,76.570323,172.283227,9820.143950
392.673699,38.285162,133.998066,9762.716208
392.676391,172.283227,76.570323,9762.716208
392.679082,76.570323,76.570323,9724.431046
392.681773,38.285162,114.855485,9781.858789
392.684464,95.712904,191.425808,9801.001370
392.687156,133.998066,114.855485,9877.571693
392.689847,153.140646,133.998066,9973.284597
392.692538,76.570323,153.140646,9877.571693
392.695229,95.712904,172.283227,9954.142016
392.697921,57.427742,191.425808,9934.999435
392.700612,114.855485,76.570323,9973.284597
392.703303,95.712904,172.283227,9858.429112
392.705994,95.712904,191.425808,9877.571693
392.708685,76.570323,210.568389,9858.429112
392.711377,76.570323,210.568389,9839.286531
392.714068,57.427742,229.710970,9801.001370
392.716759,114.855485,210.568389,9858.429112
392.719450,95.712904,114.855485,9781.858789
392.722142,57.427742,133.998066,9705.288466
392.724833,19.142581,133.998066,9801.001370
392.727524,57.427742,95.712904,9820.143950
392.730215,76.570323,172.283227,9801.001370
392.732906,76.570323,114.855485,9858.429112
392.735598,19.142581,133.998066,9896.714274
392.738289,38.285162,133.998066,9858.429112
392.740980,76.570323,114.855485,9820.143950
392.743671,95.712904,172.283227,9820.143950
392.746363,38.285162,133.998066,9762.716208
392.749054,19.142581,153.140646,9820.143950
392.751745,19.142581,191.425808,9896.714274
392.754436,95.712904,191.425808,9934.999435
392.757128,114.855485,114.855485,9820.143950
392.759819,19.142581,191.425808,9839.286531
392.762530,133.998066,172.283227,9896.714274
392.765240,-57.427742,114.855485,9915.856854
392.767951,57.427742,133.998066,9934.999435
392.770662,57.427742,133.998066,9934.999435
392.773373,76.570323,229.710970,9877.571693
392.776084,-19.142581,153.140646,9896.714274
392.778794,38.285162,172.283227,9896.714274
392.781505,38.285162,153.140646,9839.286531
392.784216,38.285162,114.855485,9915.856854
392.786927,114.855485,76.570323,9724.431046
392.789638,95.712904,133.998066,9762.716208
392.792348,38.285162,95.712904,9781.858789
392.795059,57.427742,95.712904,9801.001370
392.797770,38.285162,76.570323,9858.429112
392.800481,95.712904,95.712904,9839.286531
392.803192,57.427742,95.712904,9839.286531
392.805902,76.570323,172.283227,9858.429112
392.808613,57.427742,191.425808,9877.571693
392.811324,57.427742,95.712904,9820.143950
392.814035,95.712904,172.283227,9877.571693
392.816746,38.285162,210.568389,9973.284597
392.819456,114.855485,287.138712,9858.429112
392.822167,-19.142581,114.855485,9915.856854
392.824878,114.855485,95.712904,10088.140082
392.827589,76.570323,38.285162,9915.856854
392.830300,38.285162,267.996131,9858.429112
392.833010,95.712904,325.423874,9915.856854
392.835721,172.283227,267.996131,9762.716208
392.838432,-38.285162,172.283227,9705.288466
392.841143,95.712904,76.570323,9934.999435
392.843853,-38.285162,76.570323,9762.716208
392.846564,-19.142581,191.425808,9781.858789
392.849275,114.855485,248.853550,9896.714274
392.851986,-38.285162,191.425808,9801.001370
392.854697,19.142581,306.281293,9705.288466
392.857407,19.142581,133.998066,9781.858789
392.860118,19.142581,229.710970,9934.999435
392.862829,38.285162,229.710970,9954.142016
392.865540,-38.285162,114.855485,9743.573627
392.868251,191.425808,267.996131,9896.714274
392.870949,114.855485,210.568389,9820.143950
392.873647,95.712904,191.425808,9820.143950
392.876345,133.998066,229.710970,9954.142016
392.879043,19.142581,133.998066,9915.856854
392.881742,114.855485,363.709035,9973.284597
392.884440,19.142581,114.855485,9839.286531
392.887138,95.712904,287.138712,9896.714274
392.889836,114.855485,191.425808,9877.571693
392.892534,57.427742,95.712904,9801.001370
392.895233,267.996131,229.710970,9896.714274
392.897931,-0.000000,95.712904,9743.573627
392.900629,19.142581,287.138712,9934.999435
392.903327,76.570323,153.140646,9801.001370
392.906025,-19.142581,76.570323,9762.716208
392.908724,133.998066,172.283227,9820.143950
392.911422,57.427742,95.712904,9781.858789
392.914120,19.142581,210.568389,9781.858789
392.916818,95.712904,153.140646,9820.143950
392.919517,-38.285162,133.998066,9858.429112
392.922215,172.283227,172.283227,9934.999435
392.924913,19.142581,133.998066,9820.143950
392.927611,57.427742,210.568389,10049.854920
392.930309,57.427742,133.998066,9992.427178
392.933008,19.142581,153.140646,9896.714274
392.935706,191.425808,153.140646,9839.286531
392.938404,95.712904,114.855485,9801.001370
392.941102,172.283227,287.138712,9896.714274
392.943800,76.570323,114.855485,9877.571693
392.946499,-0.000000,133.998066,9954.142016
392.949197,76.570323,153.140646,9858.429112
392.951895,57.427742,95.712904,9781.858789
392.954593,95.712904,172.283227,9839.286531
392.957291,38.285162,95.712904,9801.001370
392.959990,-0.000000,133.998066,9820.143950
392.962688,114.855485,229.710970,9839.286531
392.965386,57.427742,76.570323,9647.860723
392.968084,95.712904,172.283227,9820.143950
392.970782,95.712904,114.855485,9686.145885
392.973481,76.570323,76.570323,9781.858789
392.976179,57.427742,114.855485,9896.714274
392.978650,19.142581,153.140646,9781.858789
392.981122,267.996131,191.425808,9934.999435
392.983594,38.285162,76.570323,9820.143950
392.986065,172.283227,248.853550,9877.571693
392.988537,133.998066,153.140646,9877.571693
392.991009,-76.570323,76.570323,9820.143950
392.993480,172.283227,153.140646,9954.142016
392.995952,76.570323,76.570323,10011.569758
392.998424,38.285162,267.996131,9934.999435
393.000895,38.285162,114.855485,9915.856854
393.003367,76.570323,114.855485,9762.716208
393.005839,210.568389,133.998066,9839.286531
393.008310,57.427742,38.285162,9896.714274
393.010782,57.427742,267.996131,9877.571693
393.013254,57.427742,229.710970,9801.001370
393.015725,19.142581,95.712904,9667.003304
393.018197,210.568389,76.570323,9839.286531
393.020669,114.855485,57.427742,9724.431046
393.023140,114.855485,210.568389,9820.143950
393.025612,-95.712904,172.283227,9896.714274
393.028083,-19.142581,287.138712,9915.856854
