#time,accel_x,accel_y,accel_z
312.803252,76.570323,114.855485,9839.286531
312.806250,19.142581,229.710970,9820.143950
312.809249,57.427742,133.998066,9877.571693
312.812248,76.570323,172.283227,9820.143950
312.815247,19.142581,133.998066,9781.858789
312.818245,76.570323,229.710970,9877.571693
312.821244,57.427742,287.138712,9896.714274
312.824243,38.285162,325.423874,9820.143950
312.827242,76.570323,153.140646,9877.571693
312.830240,76.570323,114.855485,9877.571693
312.833239,76.570323,172.283227,9820.143950
312.836238,57.427742,172.283227,9762.716208
312.839237,76.570323,191.425808,9858.429112
312.842235,19.142581,95.712904,9934.999435
312.845234,57.427742,95.712904,9858.429112
312.848233,76.570323,287.138712,9762.716208
312.851232,76.570323,229.710970,9877.571693
312.854230,38.285162,76.570323,9762.716208
312.857229,76.570323,76.570323,9781.858789
312.860228,114.855485,57.427742,9896.714274
312.863227,19.142581,153.140646,9781.858789
312.866225,133.998066,306.281293,9839.286531
312.869224,38.285162,248.853550,9762.716208
312.872223,95.712904,172.283227,9858.429112
312.875222,38.285162,114.855485,9915.856854
312.878220,153.140646,133.998066,9954.142016
312.881219,114.855485,76.570323,9915.856854
312.884218,95.712904,95.712904,9858.429112
312.887025,57.427742,229.710970,9801.001370
312.889832,114.855485,191.425808,9934.999435
312.892640,-0.000000,191.425808,9858.429112
312.895447,57.427742,306.281293,9858.429112
312.898254,95.712904,114.855485,9801.001370
312.901061,76.570323,133.998066,9781.858789
312.903869,153.140646,95.712904,9781.858789
312.906676,38.285162,114.855485,9724.431046
312.909483,38.285162,229.710970,9686.145885
312.912290,76.570323,248.853550,9839.286531
312.915098,76.570323,210.568389,9877.571693
312.917905,76.570323,210.568389,9839.286531
312.920712,57.427742,153.140646,9954.142016
312.923520,38.285162,114.855485,9915.856854
312.926327,38.285162,172.283227,9954.142016
312.929134,76.570323,248.853550,9992.427178
312.931941,153.140646,248.853550,9934.999435
312.934749,57.427742,210.568389,9934.999435
312.937556,153.140646,172.283227,9934.999435
312.940363,95.712904,210.568389,9877.571693
312.943170,76.570323,114.855485,9762.716208
312.945978,114.855485,210.568389,9820.143950
312.948785,95.712904,114.855485,9820.143950
312.951592,57.427742,191.425808,9743.573627
312.954399,76.570323,153.140646,9858.429112
312.957207,114.855485,229.710970,9820.143950
312.960014,19.142581,191.425808,9820.143950
312.962821,114.855485,172.283227,9858.429112
312.965629,76.570323,248.853550,9839.286531
312.968436,57.427742,95.712904,9896.714274
312.971243,76.570323,114.855485,9877.571693
312.974050,76.570323,114.855485,9877.571693
312.976858,76.570323,210.568389,9877.571693
312.979665,76.570323,210.568389,9839.286531
312.982472,114.855485,153.140646,9762.716208
312.985279,76.570323,210.568389,9858.429112
312.988087,19.142581,153.140646,9896.714274
312.990894,76.570323,153.140646,9877.571693
312.993701,57.427742,114.855485,9839.286531
312.996508,76.570323,153.140646,9839.286531
312.999203,114.855485,229.710970,9820.143950
313.001898,57.427742,287.138712,9896.714274
313.004592,114.855485,153.140646,9934.999435
313.007287,76.570323,133.998066,9839.286531
313.009982,95.712904,153.140646,9877.571693
313.012676,19.142581,133.998066,9839.286531
313.015371,76.570323,210.568389,9858.429112
313.018066,19.142581,133.998066,9781.858789
313.020760,76.570323,229.710970,9858.429112
313.023455,38.285162,114.855485,9781.858789
313.026150,76.570323,172.283227,9762.716208
313.028844,76.570323,133.998066,9781.858789
313.031539,95.712904,57.427742,9801.001370
313.034234,19.142581,133.998066,9896.714274
313.036928,57.427742,95.712904,9781.858789
313.039623,76.570323,172.283227,9877.571693
313.042318,95.712904,172.283227,9896.714274
313.045012,76.570323,191.425808,9877.571693
313.047707,57.427742,191.425808,9743.573627
313.050402,229.710970,287.138712,9877.571693
313.053096,133.998066,229.710970,9820.143950
313.055791,76.570323,76.570323,9973.284597
313.058486,76.570323,114.855485,9973.284597
313.061180,57.427742,95.712904,9896.714274
313.063875,19.142581,172.283227,9896.714274
313.066569,114.855485,287.138712,9762.716208
313.069264,19.142581,191.425808,9839.286531
313.071959,76.570323,114.855485,9877.571693
313.074653,76.570323,172.283227,9762.716208
313.077348,95.712904,172.283227,9762.716208
313.080043,57.427742,57.427742,9781.858789
313.082737,76.570323,172.283227,9801.001370
313.085432,76.570323,172.283227,9877.571693
313.088127,-0.000000,133.998066,9839.286531
313.090821,-0.000000,153.140646,9896.714274
313.093516,133.998066,210.568389,9877.571693
313.096211,19.142581,153.140646,9839.286531
313.098905,-19.142581,172.283227,9896.714274
313.101600,76.570323,172.283227,10068.997501
313.104295,57.427742,153.140646,9934.999435
313.106916,76.570323,210.568389,9877.571693
313.109537,95.712904,248.853550,9877.571693
313.112158,76.570323,229.710970,9858.429112
313.114779,95.712904,229.710970,9781.858789
313.117401,76.570323,114.855485,9839.286531
313.120022,95.712904,133.998066,9973.284597
313.122643,76.570323,114.855485,9762.716208
313.125264,76.570323,153.140646,9820.143950
313.127885,19.142581,153.140646,9801.001370
313.130507,19.142581,153.140646,9801.001370
313.133128,114.855485,210.568389,9801.001370
313.135749,76.570323,133.998066,9896.714274
313.138370,-0.000000,191.425808,9858.429112
313.140991,76.570323,114.855485,9801.001370
313.143613,-19.142581,76.570323,9820.143950
313.146234,114.855485,114.855485,9896.714274
313.148855,114.855485,114.855485,9858.429112
313.151476,133.998066,229.710970,9801.001370
313.154097,76.570323,153.140646,9858.429112
