#time,accel_x,accel_y,accel_z
226.549802,-4709.074877,38.285162,9073.583299
226.552342,-1473.978722,382.851616,9954.142016
226.554882,-3196.810994,153.140646,10336.993632
226.557428,-2928.814862,172.283227,10202.995566
226.559975,-2833.101958,421.136778,8882.157491
226.562522,-1588.834206,401.994197,9590.432981
226.565069,-2488.535504,172.283227,10202.995566
226.567616,-2258.824534,191.425808,9762.716208
226.570163,-746.560651,172.283227,10719.845248
226.572710,-1263.410333,287.138712,10279.565890
226.575257,-1722.832272,114.855485,9552.147819
226.577804,-440.279358,248.853550,9801.001370
226.580351,-842.273555,191.425808,9858.429112
226.582898,-631.705166,133.998066,9896.714274
226.585444,-421.136778,210.568389,9934.999435
226.587991,-172.283227,287.138712,9992.427178
226.590538,-19.142581,229.710970,9896.714274
226.593085,-114.855485,114.855485,9801.001370
226.595632,-172.283227,38.285162,10030.712339
226.598179,-172.283227,57.427742,10145.567824
226.600726,-210.568389,114.855485,10107.282662
226.603273,-76.570323,210.568389,9954.142016
226.605820,57.427742,191.425808,9973.284597
226.608367,76.570323,172.283227,9858.429112
226.610914,172.283227,76.570323,9762.716208
226.613461,325.423874,38.285162,9647.860723
226.616007,363.709035,0.000000,9781.858789
226.618554,325.423874,95.712904,9762.716208
226.621101,363.709035,133.998066,9686.145885
226.623648,344.566454,172.283227,9513.862658
226.626195,555.134843,95.712904,9743.573627
226.628742,459.421939,0.000000,9858.429112
226.631289,440.279358,-19.142581,9877.571693
226.633836,382.851616,114.855485,9571.290400
226.636383,401.994197,172.283227,9571.290400
226.638930,421.136778,153.140646,9762.716208
226.641477,401.994197,114.855485,9820.143950
226.644023,306.281293,153.140646,9801.001370
226.646570,306.281293,153.140646,9781.858789
226.649117,306.281293,133.998066,9839.286531
226.651664,248.853550,172.283227,9896.714274
226.654211,95.712904,248.853550,9877.571693
226.656758,19.142581,191.425808,9896.714274
226.659309,19.142581,114.855485,9934.999435
226.661861,-19.142581,229.710970,10030.712339
226.664412,-95.712904,191.425808,9781.858789
226.666963,-153.140646,248.853550,9762.716208
226.669515,-172.283227,153.140646,9839.286531
226.672066,-267.996131,229.710970,9973.284597
226.674617,-306.281293,248.853550,9896.714274
226.677169,-363.709035,191.425808,9858.429112
226.679720,-325.423874,267.996131,9762.716208
226.682272,-267.996131,229.710970,9954.142016
226.684823,-287.138712,248.853550,10011.569758
226.687374,-267.996131,210.568389,9992.427178
226.689926,-267.996131,191.425808,10030.712339
226.692477,-172.283227,325.423874,10011.569758
226.695028,-229.710970,210.568389,9877.571693
226.697580,-76.570323,287.138712,9915.856854
226.700131,38.285162,229.710970,9973.284597
226.702682,19.142581,153.140646,9896.714274
226.705234,95.712904,325.423874,9896.714274
226.707785,133.998066,210.568389,9858.429112
226.710336,229.710970,248.853550,9877.571693
226.712888,191.425808,153.140646,9801.001370
226.715439,306.281293,153.140646,9781.858789
226.717990,325.423874,172.283227,9858.429112
226.720542,344.566454,133.998066,9877.571693
226.723093,344.566454,153.140646,9743.573627
226.725645,382.851616,133.998066,9686.145885
226.728196,287.138712,114.855485,9667.003304
226.730747,325.423874,114.855485,9762.716208
226.733299,382.851616,172.283227,9628.718142
226.735850,382.851616,95.712904,9705.288466
226.738401,325.423874,172.283227,9590.432981
226.740953,287.138712,76.570323,9762.716208
226.743504,306.281293,153.140646,9801.001370
226.746055,267.996131,76.570323,9877.571693
226.748607,153.140646,114.855485,9915.856854
226.751158,153.140646,191.425808,9858.429112
226.753709,57.427742,95.712904,9801.001370
226.756261,114.855485,114.855485,9896.714274
226.758812,38.285162,133.998066,9839.286531
226.761365,-95.712904,133.998066,9781.858789
226.763919,19.142581,153.140646,9858.429112
226.766472,-57.427742,172.283227,10011.569758
226.769025,-191.425808,153.140646,9954.142016
226.771579,-191.425808,133.998066,9934.999435
226.774132,-153.140646,191.425808,9992.427178
226.776685,-267.996131,210.568389,10088.140082
226.779238,-267.996131,172.283227,9915.856854
226.781792,-248.853550,76.570323,9839.286531
226.784345,-172.283227,172.283227,9820.143950
226.786898,-172.283227,114.855485,9858.429112
226.789452,-133.998066,172.283227,9896.714274
226.792005,-114.855485,114.855485,9762.716208
226.794558,-133.998066,191.425808,9934.999435
226.797111,-95.712904,172.283227,9896.714274
226.799665,-133.998066,133.998066,9954.142016
226.802218,-57.427742,133.998066,9896.714274
226.804771,133.998066,76.570323,9915.856854
226.807325,114.855485,95.712904,9839.286531
226.809878,76.570323,114.855485,9762.716208
226.812431,248.853550,210.568389,9705.288466
226.814984,267.996131,133.998066,9801.001370
226.817538,133.998066,210.568389,9762.716208
226.820091,229.710970,133.998066,9839.286531
226.822644,248.853550,114.855485,9877.571693
226.825198,306.281293,133.998066,9896.714274
226.827751,363.709035,114.855485,9781.858789
226.830304,325.423874,95.712904,9743.573627
226.832858,382.851616,76.570323,9705.288466
226.835411,325.423874,76.570323,9724.431046
226.837964,344.566454,133.998066,9743.573627
226.840517,248.853550,172.283227,9724.431046
226.843071,172.283227,76.570323,9743.573627
226.845624,133.998066,133.998066,9762.716208
226.848177,114.855485,114.855485,9858.429112
226.850731,114.855485,95.712904,9801.001370
226.853284,114.855485,114.855485,9877.571693
