#time,accel_x,accel_y,accel_z
382.300664,95.712904,172.283227,9820.143950
382.304029,76.570323,153.140646,9820.143950
382.307395,76.570323,229.710970,9858.429112
382.310760,76.570323,210.568389,9820.143950
382.314125,133.998066,153.140646,9781.858789
382.317490,38.285162,76.570323,9858.429112
382.320855,19.142581,133.998066,9820.143950
382.324220,76.570323,172.283227,9877.571693
382.327585,19.142581,191.425808,9839.286531
382.330950,19.142581,210.568389,9896.714274
382.334315,76.570323,229.710970,9839.286531
382.337680,153.140646,248.853550,9934.999435
382.341045,76.570323,229.710970,9820.143950
382.344410,38.285162,267.996131,9801.001370
382.347775,114.855485,114.855485,9858.429112
382.351140,76.570323,210.568389,9877.571693
382.354505,114.855485,133.998066,9934.999435
382.357870,57.427742,114.855485,9839.286531
382.361235,76.570323,191.425808,9839.286531
382.364600,57.427742,95.712904,9839.286531
382.367965,57.427742,95.712904,9801.001370
382.371330,153.140646,248.853550,9954.142016
382.374695,95.712904,133.998066,9743.573627
382.378060,19.142581,95.712904,9628.718142
382.381425,153.140646,95.712904,9801.001370
382.384790,57.427742,95.712904,9839.286531
382.388155,114.855485,191.425808,9743.573627
382.391520,114.855485,267.996131,9934.999435
382.394885,95.712904,363.709035,9915.856854
382.398250,19.142581,210.568389,9877.571693
382.401615,19.142581,114.855485,9992.427178
382.404980,172.283227,114.855485,9954.142016
382.408345,76.570323,172.283227,9858.429112
382.411710,19.142581,133.998066,9896.714274
382.415075,38.285162,229.710970,10011.569758
382.418440,-0.000000,191.425808,9839.286531
382.421805,95.712904,191.425808,9762.716208
382.425170,95.712904,210.568389,9762.716208
382.428169,57.427742,76.570323,9781.858789
382.431167,95.712904,95.712904,9781.858789
382.434166,76.570323,114.855485,9820.143950
382.437164,19.142581,172.283227,9705.288466
382.440163,19.142581,306.281293,9686.145885
382.443161,95.712904,306.281293,9801.001370
382.446160,76.570323,210.568389,9820.143950
382.449158,19.142581,95.712904,9915.856854
382.452157,57.427742,133.998066,9934.999435
382.455156,76.570323,210.568389,9934.999435
382.458154,19.142581,248.853550,9915.856854
382.461153,153.140646,191.425808,9973.284597
382.464151,57.427742,248.853550,9934.999435
382.467150,19.142581,248.853550,9896.714274
382.470148,19.142581,191.425808,9820.143950
382.473147,95.712904,191.425808,9877.571693
382.476146,133.998066,153.140646,9896.714274
382.479144,76.570323,210.568389,9877.571693
382.482143,76.570323,210.568389,9762.716208
382.485141,38.285162,210.568389,9724.431046
382.488140,76.570323,191.425808,9858.429112
382.491138,114.855485,210.568389,9877.571693
382.494137,57.427742,153.140646,9877.571693
382.497136,19.142581,133.998066,9839.286531
382.500134,76.570323,210.568389,9762.716208
382.503133,19.142581,133.998066,9896.714274
382.506131,57.427742,95.712904,9896.714274
382.509130,76.570323,172.283227,9877.571693
382.512128,38.285162,210.568389,9896.714274
382.515127,76.570323,210.568389,9820.143950
382.518125,114.855485,153.140646,9934.999435
382.521124,114.855485,172.283227,9839.286531
382.524123,76.570323,210.568389,9839.286531
382.527121,76.570323,210.568389,9858.429112
382.530120,38.285162,210.568389,9934.999435
382.533118,95.712904,191.425808,9934.999435
382.536117,114.855485,153.140646,9877.571693
382.539115,76.570323,153.140646,9858.429112
382.542114,76.570323,210.568389,9858.429112
382.545113,76.570323,172.283227,9839.286531
382.547907,76.570323,114.855485,9858.429112
382.550701,95.712904,114.855485,9896.714274
382.553495,19.142581,133.998066,9896.714274
382.556289,76.570323,114.855485,9762.716208
382.559083,76.570323,114.855485,9762.716208
382.561877,57.427742,95.712904,9781.858789
382.564671,76.570323,153.140646,9762.716208
