#time,accel_x,accel_y,accel_z
371.783480,153.140646,153.140646,9934.999435
371.786606,57.427742,133.998066,9877.571693
371.789733,95.712904,114.855485,9839.286531
371.792860,76.570323,210.568389,9762.716208
371.795987,57.427742,191.425808,9877.571693
371.799113,95.712904,172.283227,9858.429112
371.802240,114.855485,172.283227,9858.429112
371.805367,76.570323,153.140646,9801.001370
371.808494,19.142581,248.853550,9801.001370
371.811620,38.285162,229.710970,9724.431046
371.814747,19.142581,210.568389,9820.143950
371.817874,133.998066,191.425808,9877.571693
371.821001,38.285162,76.570323,9762.716208
371.824128,57.427742,172.283227,9896.714274
371.827254,19.142581,133.998066,9839.286531
371.830381,114.855485,229.710970,9877.571693
371.833508,57.427742,95.712904,9896.714274
371.836635,38.285162,76.570323,9820.143950
371.839761,153.140646,287.138712,9839.286531
371.842888,76.570323,210.568389,9877.571693
371.846015,76.570323,133.998066,9647.860723
371.849142,95.712904,57.427742,9781.858789
371.852268,57.427742,-19.142581,9896.714274
371.855395,95.712904,210.568389,9743.573627
371.858522,172.283227,267.996131,9839.286531
371.861649,57.427742,248.853550,9934.999435
371.864775,38.285162,153.140646,9934.999435
371.867902,76.570323,76.570323,10011.569758
371.871029,95.712904,76.570323,10011.569758
371.874156,191.425808,153.140646,9801.001370
371.877027,38.285162,191.425808,9915.856854
371.879898,57.427742,248.853550,9934.999435
371.882770,38.285162,172.283227,9896.714274
371.885641,19.142581,248.853550,9801.001370
371.888512,38.285162,267.996131,9858.429112
371.891384,19.142581,153.140646,9781.858789
371.894255,38.285162,57.427742,9858.429112
371.897126,57.427742,153.140646,9743.573627
371.899998,19.142581,133.998066,9781.858789
371.902869,95.712904,287.138712,9781.858789
371.905740,57.427742,306.281293,9781.858789
371.908612,38.285162,267.996131,9820.143950
371.911483,133.998066,210.568389,9820.143950
371.914354,57.427742,133.998066,9954.142016
371.917226,38.285162,114.855485,9954.142016
371.920097,76.570323,172.283227,9934.999435
371.922969,76.570323,172.283227,9839.286531
371.925840,76.570323,229.710970,9877.571693
371.928711,76.570323,153.140646,9896.714274
371.931583,57.427742,153.140646,9877.571693
371.934454,153.140646,191.425808,9877.571693
371.937325,19.142581,248.853550,9801.001370
371.940197,76.570323,229.710970,9839.286531
371.943068,19.142581,153.140646,9820.143950
371.945939,76.570323,172.283227,9762.716208
371.948811,19.142581,153.140646,9801.001370
371.951682,153.140646,191.425808,9877.571693
371.954553,76.570323,172.283227,9877.571693
371.957425,76.570323,133.998066,9915.856854
371.960296,153.140646,57.427742,9858.429112
371.963167,57.427742,95.712904,9896.714274
371.966039,76.570323,133.998066,9801.001370
371.968910,133.998066,133.998066,9915.856854
371.971781,76.570323,191.425808,9801.001370
371.974653,76.570323,153.140646,9820.143950
371.977524,19.142581,153.140646,9858.429112
371.980395,114.855485,210.568389,9877.571693
371.983267,95.712904,153.140646,9934.999435
371.986138,76.570323,153.140646,9858.429112
371.989009,57.427742,114.855485,9896.714274
371.991735,95.712904,133.998066,9934.999435
371.994460,76.570323,229.710970,9877.571693
371.997185,57.427742,172.283227,9934.999435
371.999910,76.570323,229.710970,9858.429112
372.002636,57.427742,114.855485,9839.286531
372.005361,114.855485,114.855485,9801.001370
372.008086,57.427742,95.712904,9781.858789
372.010811,95.712904,114.855485,9801.001370
372.013537,76.570323,133.998066,9801.001370
372.016262,57.427742,95.712904,9858.429112
372.018987,76.570323,172.283227,9762.716208
372.021712,76.570323,114.855485,9820.143950
372.024438,57.427742,95.712904,9801.001370
372.027163,76.570323,114.855485,9801.001370
372.029888,76.570323,114.855485,9877.571693
372.032613,76.570323,210.568389,9877.571693
372.035338,76.570323,210.568389,9858.429112
372.038064,76.570323,210.568389,9858.429112
372.040789,76.570323,210.568389,9762.716208
372.043514,114.855485,153.140646,9954.142016
372.046239,153.140646,172.283227,9934.999435
372.048965,-0.000000,38.285162,9820.143950
372.051690,95.712904,191.425808,9954.142016
372.054415,-38.285162,172.283227,9973.284597
372.057140,57.427742,401.994197,9781.858789
372.059866,-0.000000,267.996131,9781.858789
372.062591,153.140646,191.425808,9954.142016
372.065316,57.427742,133.998066,9743.573627
372.068041,38.285162,38.285162,9762.716208
372.070767,153.140646,191.425808,9934.999435
372.073492,114.855485,306.281293,9781.858789
372.076217,-76.570323,248.853550,9609.575562
372.078942,133.998066,248.853550,9915.856854
372.081668,95.712904,95.712904,9839.286531
372.084393,-114.855485,76.570323,9686.145885
372.087118,133.998066,229.710970,9858.429112
372.089843,57.427742,210.568389,9934.999435
372.092569,-95.712904,229.710970,9686.145885
372.095294,133.998066,210.568389,9934.999435
372.098019,38.285162,172.283227,10011.569758
372.100653,57.427742,248.853550,9705.288466
372.103286,172.283227,191.425808,9954.142016
372.105920,133.998066,114.855485,10068.997501
372.108553,19.142581,248.853550,9781.858789
372.111187,76.570323,210.568389,9896.714274
372.113820,57.427742,210.568389,9934.999435
372.116454,172.283227,267.996131,9762.716208
372.119087,153.140646,210.568389,9839.286531
372.121721,114.855485,172.283227,9877.571693
372.124355,76.570323,191.425808,9667.003304
372.126988,57.427742,210.568389,9915.856854
372.129622,19.142581,38.285162,9915.856854
372.132255,-19.142581,172.283227,9647.860723
372.134889,19.142581,191.425808,9858.429112
372.137522,191.425808,191.425808,9858.429112
372.140156,133.998066,210.568389,9705.288466
372.142789,19.142581,191.425808,9896.714274
372.145423,133.998066,38.285162,9973.284597
372.148056,153.140646,191.425808,9686.145885
